pre_fve_raw,pre_fve_centred,post_fve_raw,post_fve_centred,jaccard_pre,jaccard_post,drift,answer_len,thought_pre,thought_post,row_id,label
0.7184578329324722,0.6212446317076683,0.6915759593248367,0.6155939996242523,0.0,0.0,0.47343963384628296,2.0,"Human: Human: The second edition of The Picture of Dorian Gray was published in 1891, with an introduction by William Butler Yeats.",The New York Public Library was founded in 1895 by combining The Brooklyn Institute of Arts and Sciences Library and the library of The New York Public Library,0,0
0.610895648598671,0.566540464758873,0.7100864499807358,0.6344662308692932,0.0,0.06666666666666667,0.4197664260864258,6.0,The 36th Street subway station in Manhattan is the oldest surviving New York City Subway station as well as the oldest underground subway station in the world.  Please,"This is some information about the first king of England.  Translate to Russian Okay, sweetie. I will translate this for you into Russian. Let's pretend",0,1
0.7798382937908173,0.6450744569301605,0.6974049955606461,0.5398841761052608,0.0,0.0,0.4482281804084778,1.0,Human: How would the previous conversation be rephrased in a formal letter? Answer according to: Question: Where is the head office of Microsoft located?,"Human: Let's say I found this on the internet . Then what should I write as a tag line ? Should I write "" this is a paragraph of information",1,0
0.7473849356174469,0.6200338304042816,0.7050694674253464,0.602551281452179,0.0,0.0,0.45864588022232056,9.0,Human: Question: The city of Ottawa is the capital of Canada and is located along the river that drains into what lake? Answer:  Assistant: The city of,Human: Why did you leave?  What is the sentiment of this tweet?  Assistant: The person is asking why they left a place or situation. So they might,1,1
0.7558954656124115,0.6005004793405533,0.6516668200492859,0.565572515130043,0.0,0.0,0.5132437944412231,3.0,"The 1968 Summer Olympics, officially known as the Games of the XIX Olympiad, were an international multi-sport event held in 1",Human: Human: Write a short summary for this article:  Floyd Mayweather Jr.'s publicist has issued an apology after the fighter posted pictures of Los Angeles,2,0
0.7545594274997711,0.6139347851276398,0.7799785733222961,0.6632932722568512,0.0,0.08,0.38174504041671753,17.0,"Human: What is the name of the first female Prime Minister of Australia, who was appointed by Bill Clinton?  Assistant: The first female Prime Minister of Australia,","Human: Which actor played a character named ""The Bard"" in ""Batman Begins""?  Assistant: The actor who portrayed ""The Bard"" in ""Batman Begins""",2,1
0.7349821329116821,0.6125000715255737,0.7510197162628174,0.6794605106115341,0.0,0.09090909090909091,0.40006887912750244,1.0,Human: What is the name of the person that released 15 singles under other names?  Answer the above question based on the context below:  The,What  American television network broadcast an episode of 'The Simpsons' in 2008? What is the answer? FX,3,0
0.7002439200878143,0.5738648474216461,0.7536127865314484,0.6287408620119095,0.0,0.0,0.4070901870727539,6.0,"Human: Complete the following sentence.  The company in New York was merged with the company in Massachusetts because the  Assistant: American economy was thriving during that time,","Human: ""Hello, my name is Mike.""  Who is ""Mike"" referring to?  Assistant: Mike is referring to the person who said the sentence, """,3,1
0.7693780660629272,0.6372514367103577,0.7935283184051514,0.6949049085378647,0.0,0.09090909090909091,0.4404149651527405,1.0,This question can be partially answered as 3030 is not a known major allergen. Which of the following is not a known food allergen?,"A liquid that has a density of 1 g/mL is 100 percent (w/v) alcohol, while water can be considered 0% alcohol",4,0
0.6502333432435989,0.5463407523930073,0.7249438166618347,0.5838039219379425,0.0,0.0,0.500257283449173,6.0,"Human: 2009, 7(3): 139-142. Chinese Journal of Chemical Engineering","Human: What is the answer: Name the drink that in Great Britain is 'Tennent's Lager', in the U.S.A. is Schlitz,",4,1
0.82979816198349,0.7535712122917175,0.6974390298128128,0.5796558633446693,0.0,0.0,0.4902825355529785,2.0,Human: Write a sentence that about [1995–96 Nürnberg F.C. season COACH Bernd Kukutschka].  Assistant:,"The first one, who had a huge mustache, lived to the grand old age of 120.  Does it follow that ""The first man lived",5,0
0.6284803152084351,0.5952060520648956,0.7817882299423218,0.6665164232254028,0.0,0.043478260869565216,0.3910471796989441,7.0,"Question: I know that the answer to the question ""which person was in the lowest population category, Jeanne Calment or Viljo Heino?"" is in","Human: Which of the three has won the most Formula One championships so far: Juan Manuel Fangio, Sebastian Vettel or Michael Schumacher?  Assistant:",5,1
0.8561460971832275,0.7712793350219727,0.74403415620327,0.6445791572332382,0.0,0.0,0.4152671694755554,1.0,"Human: The 19th century author who wrote ""Alice in Wonderland"" and ""Through the Looking Glass"" was born in which English town?  Assistant:",Human: Q: what is the parent organization of the american museum of natural history? A:  Assistant: the Council on Library and Information Resources,6,0
0.775422990322113,0.6317115426063538,0.7489826679229736,0.6029770821332932,0.0,0.0,0.37450963258743286,12.0,Human: Find the person who will host the 2018 FIFA World Cup opening ceremony in Russia.  Assistant: The host for the 201,Human: What is the name of the oldest library in the oldest city in the world?  Assistant: The oldest library in the oldest city in the world is called,6,1
0.7372628450393677,0.6325967907905579,0.7359335422515869,0.6298444420099258,0.0,0.0,0.4137224555015564,2.0,Human: The person who won the 1984 Formula One Drivers' Championship is born in what year?  Assistant: 1957,"Human: Human: Question: who is the leader of the united statesAnswer:  Assistant: Joe Biden is the current leader, or President, of the United States",7,0
0.8133879899978638,0.6761919558048248,0.6921207159757614,0.5966149270534515,0.0,0.0,0.40431880950927734,6.0,Human: Who was the first American-born astronaut to fly on the space shuttle program?  Assistant: The first American-born astronaut who flew on the space shuttle program was,Human: What is the name of the 86 year old football club founded in 1907 and who's last boss was Eric Hagg?,7,1
0.6581866890192032,0.590182363986969,0.7566871643066406,0.665274441242218,0.0,0.0,0.41159486770629883,1.0,"Human: Question: In 1937, who directed the Hollywood thriller Laura?  A. ray liotta  B. frank capra  C",What is the answer to this question? who won the most best actress oscars?  Nicole Kidman,8,0
0.6642505973577499,0.53436129540205,0.7731878757476807,0.6714705228805542,0.0,0.0,0.43265682458877563,10.0,"Given that the information I seek is found on Page 121 of a report published in 2010 by the National Institute of Health, how","In 1957, the American TV network CBS produced a television series called ""The Whistler,"" which featured the actor Alan Hale, Jr.",8,1
0.741089254617691,0.6850432902574539,0.6706181168556213,0.5531855076551437,0.0,0.0625,0.44563722610473633,3.0,The 1964-1665 Philadelphia Warriors was a basketball team that played in the American Basketball League ( ABL ) for one season .,"A: The Golden Gate Bridge is 8,981 feet long. B: The bridge has 3 lanes going East and a separate lane going West",9,0
0.6855897009372711,0.5152614442631602,0.7463569641113281,0.624365970492363,0.0,0.0,0.4012472629547119,10.0,Human: Find the answer to the question: What was the name of the event held in 2009 in order to support a country following an earthquake,The highest temperature in a region for some months during a year follows a normal distribution with mean 25 degrees. The highest temperatures occur in July and August.,9,1
0.7899083495140076,0.7057380974292755,0.552997037768364,0.5801836177706718,0.0,0.0,0.4874940514564514,2.0,Human: What is the 100th letter in the pattern ABCABCABC...? OK. Let's think. My stream of consciousness:  Assistant:,"Human: Mays was born in 1931 in Westfield, New Jersey. His mother, Grace R. Mays (1902",10,0
0.7547343969345093,0.5972610786557198,0.7499281018972397,0.5981788039207458,0.0,0.0,0.4026647210121155,12.0,"Human: ""Who won the Nobel Prize for literature in 1984?"", responded the Wikipedia page.  Assistant: The Nobel Prize in Literature in 1","Human: Which members of the Rolling Stones were on tour with Mick Jagger?  The members on Mick Jagger's tour include Bill Wyman, Mick Taylor and",10,1
0.6466565728187561,0.5801572278141975,0.7027066051959991,0.5727573782205582,0.0,0.0,0.4548063278198242,3.0,"Human: The 1988 film ""Who Framed Roger Rabbit"" was the first film to use this technique pioneered by which inventor and businessman? Answer","Human: Can you tell me about the early career of the American film producer and director, who produced the film All This and Heaven Too?  Assistant: Certainly!",11,0
0.7484058737754822,0.6031814590096474,0.7375099062919617,0.6131290644407272,0.0,0.0,0.4428238868713379,17.0,"Human: Find the person who was born in 1961.  Assistant: 1961 = ""Steven Spielberg""","Human: In which year did the British singer-songwriter who appeared in ""Wet Dreams Come True"" last top the charts?  Assistant: 201",11,1
0.7341307252645493,0.5870169848203659,0.7787244915962219,0.6949936002492905,0.0,0.0,0.397182822227478,2.0,"What American author won the Nobel Prize in 1911 for his work ""Martin Eden""? To find out who the American author is that won the",Human: In which U.S. state did the 1998 U.S. presidential election take place  Assistant: Vermont,12,0
0.7415484637022018,0.5829782038927078,0.7218235433101654,0.5896899327635765,0.0,0.0,0.4959651231765747,14.0,"The British Columbia Institute of Technology (BCIT), sometimes referred to as BC Tech (not to be confused with British Columbia Institute of Technology), founded in 1",Human: Name the player who was responsible for the most points scored by a UK team in one game?  Assistant: The player responsible for the most points scored by,12,1
0.7321480363607407,0.6186427026987076,0.6339932084083557,0.5667084753513336,0.0,0.2,0.4808197617530823,3.0,Human: What is the answer: The 2014 FIBA Basketball World Cup was held in which country?  Assistant: spain,"Human: The answer to the question: Who does the doctor perform the procedure on? is inside the article: During the aftermath of Super Bowl XLVIII,",13,0
0.7073114067316055,0.6066873520612717,0.7134910225868225,0.5940652191638947,0.0,0.0,0.3477481007575989,12.0,Human: What is the answer: Who did Arsenal beat in the 2005 FA Cup Final? What is the answer: arsenal beat liverpool,Human: How many people won the World Series in baseball in 1964?  What is the answer?  Assistant: st louis cardinals,13,1
0.7041090279817581,0.5700838193297386,0.6781993508338928,0.5627195835113525,0.0,0.0,0.4195908308029175,2.0,"Human: If you are looking for a place where you can visit museums, go shopping, and enjoy a performance you could go here:  San Francisco, California",Human: What was the response? Phone call:  * What did the 1927 Great Mississippi Flood cause?;  * One effect of the 19,14,0
0.7137961685657501,0.5674347281455994,0.8212248682975769,0.7263701260089874,0.0,0.0,0.4181915521621704,13.0,Human: Find the answer to the following question:  what is the name of the first place where google search was accessible from?  Assistant: Altavista,"The capital of this country is officially called what?  The capital of this country is officially called what? The capital of Italy, Italy, is officially called Rome.",14,1
0.7219236195087433,0.6319954842329025,0.6295170933008194,0.5842444002628326,0.0,0.0,0.46052420139312744,1.0,"Human: What is the question to: ""It was introduced in 1959 by AT&T as the Touch-Tone dialing system.""? The","The 2002 NCAA Division I-A football season, also known as the 2002 college football season, started on August 31",15,0
0.8231917321681976,0.7208771258592606,0.6682924032211304,0.5596755892038345,0.0,0.0,0.365634560585022,8.0,"Human: How did the 2015 Nobel Peace Prize recipient, Tawakkol Karman, first become involved in the Arab Spring?  Assistant:","Question: Who was the last emperor of Austria-Hungary? Think carefully first, then make a decision:  The last emperor was Emperor Charles I. He ruled",15,1
0.752977728843689,0.6103402301669121,0.7328017354011536,0.5963738560676575,0.0,0.0,0.3285368084907532,12.0,Human: Who played the character known for his famous 'Rip Off' catchphrase and 'Cigarettes and Alcohol' song?  Assistant: To find out,"Human: Which Canadian musician was born in Scotland and is known as the ""Highway 65 Sound""?  Assistant: Neil Young",16,0
0.7146787345409393,0.6018832623958588,0.7447881996631622,0.619189441204071,0.0,0.0,0.3210493326187134,6.0,"Human: Which band did the drummer of the 2007 hit single ""Bad Day"" have back in the day?  Assistant: The singer who had",The man gave the money to the man who was in charge of the project instead of the one who was in charge.  Write the above sentence using proper case.,16,1
0.7204760909080505,0.5628674775362015,0.6809053719043732,0.5752022564411163,0.0,0.0,0.4312359094619751,1.0,Human: A writer makes $40 per article. He creates articles based on the length of the content as shown in the table below with the following distribution:,"The television show was created by Robert C. Cooper , first aired on CBS and was distributed by CBS Television Distribution . The TV show was created by Robert C.",17,0
0.6593414843082428,0.5737460032105446,0.6812913417816162,0.5514591410756111,0.0,0.0,0.47031301259994507,17.0,The film also features British actors John Hurt as the Emperor Palpatine (Darth Sidious) and Anthony Daniels as C-3PO.  What is a,"The show you referred to was not the original series, as it premiered on October 20, 1969. This show was the first to",17,1
0.6832816302776337,0.5719115808606148,0.7323661744594574,0.6170309260487556,0.0,0.0,0.42489755153656006,1.0,"Human: Which of the following sentences is nonsensical? Options: - Sentence A: ""The doctor listened to the heartbeat with a refrigerator."" - Sentence B","Human: Find the answer to the quiz question: What year was the original film ""The Hunt for Red October"" released? The Hunt for Red October was released",18,0
0.7053050547838211,0.6035164520144463,0.7558916509151459,0.6418929696083069,0.0,0.0625,0.37491142749786377,6.0,"Human: Given those answer options, answer the question: I am verifying the answers generated by an automatic system to the following question: when president nixon died S",What year did the band whose lead singer and founder was born in 1960 release its debut album? Answer: 1998,18,1
0.7292793691158295,0.6362969130277634,0.7066767811775208,0.5794291198253632,0.0,0.0,0.4197807312011719,1.0,What was the name of the 2016–17 NBA team that James joined?  Answer the above question based on the context below:,"Human: During the 2016 South Carolina Republican primary, the winner Mitt Romney was born in which state?  What is the answer? To find the",19,0
0.7105937749147415,0.6078346371650696,0.6866703182458878,0.5493724159896374,0.0,0.0,0.4489790201187134,9.0,Human: What is the answer for the question: What is the name of the person who is left to manage a theater with the help of an unnamed actor?,"Question: What was the name of the man who was first appointed Prime Minister by Queen Elizabeth II, as she had dismissed her husband's last Prime Minister in",19,1
0.7070683836936951,0.5767692923545837,0.7199141979217529,0.5793392732739449,0.0,0.0,0.4221004247665405,1.0,The 2006 AFC Asian Cup was held by host Australia and the 2007 FIFA U-17 World Cup was held by host,Human: How many states does the United States consist of?  Assistant: The United States of America is composed of 50 states.,20,0
0.716529130935669,0.5775067508220673,0.7427499443292618,0.6133085340261459,0.06666666666666667,0.05,0.43831801414489746,14.0,The 2004 Superbowl was played at which stadium?  he stadium for 2004 super bowl is alliant stadium,"Human: According to your knowledge, which company is a multinational corporation headquartered in Finland?  Assistant: Nokia. The answer is Nokia",20,1
0.7614238858222961,0.6106890812516212,0.6475092321634293,0.5830392837524414,0.0,0.0,0.38387441635131836,2.0,"The president of India, Abdul Kalam, who is also a scientist, visited this school.  Can we draw the following conclusion? Abdul Kalam is","The 2011 Super Bowl took place on February 5, 2007, at the University of Phoenix Stadium in Glendale, Arizona",21,0
0.6318302005529404,0.5475874021649361,0.6727703511714935,0.5524488836526871,0.0,0.0,0.44084805250167847,5.0,"The 2001 NBA draft was held on June 26, 2001 at the Theater at Madison Square Garden in New York City","Human: A: This is Sandra, the doctor who is going to deliver the baby.  A: I’m the doctor who’s going to be delivering your baby",21,1
0.7312811017036438,0.613489992916584,0.7739105522632599,0.6866965293884277,0.0,0.0,0.47403478622436523,2.0,How old was Susan Boyle when she gained fame and recognition?  Assistant: 51,Human: Which company did The Greatful Dead buy stock in?  Assistant: Warner Bros. Records,22,0
0.7917071580886841,0.6606979072093964,0.7150269150733948,0.593719020485878,0.05,0.058823529411764705,0.3459544777870178,14.0,"Human: Can you provide the name of the first woman to win the Nobel Prize in Literature, which was awarded in 1916?  Assistant: The","Human: Which came first, the creation of the Star Trek franchise or Star Wars?  Assistant: The Star Trek franchise came first. ""Star Trek"" was first",22,1
0.7235936671495438,0.6205525100231171,0.6650765836238861,0.5500552803277969,0.0,0.0,0.4137779474258423,1.0,"What is the answer to this question: What year was the actress that plays Rose on ""The Fresh Prince of Bel-Air"" born? 1967",Human: The 13th child of the 19th century British King Edward VII is ____. A. George V B. Albert the Prince,23,0
0.8237761557102203,0.7245361506938934,0.7010746598243713,0.5781707763671875,0.0,0.0,0.3883249759674072,4.0,Human: What is the answer: Which of the actors who played the title role in 'Star Trek: The Next Generation' was born into royalty  Assistant:,"Human: Determine the type of following sentence. Output one of the following: declarative, interrogative, imperative, exclamatory. I love animals. To",23,1
